App,Rating,Type,Installs,Price,Android Ver
Easy Fitness,2.7,Free,50000,7.96,5.0 and up
Super Scanner,4.4,,10000000,18.77,5.0 and up
Go Tasks,3.9,Paid,40000,1.61,4.0 and up
Easy Scanner,,Paid,50000,3.94,4.0 and up
Happy Translate,2.0,Paid,50000000,3.99,5.0 and up
Pro Music,3.2,Free,50000000,19.91,5.0 and up
Easy Calendar,3.9,,10000,17.82,Varies with device
My Music,4.1,,50000,3.88,5.0 and up
Happy Music,,Free,100000000,11.29,Varies with device
Quick Calendar,4.3,Paid,10000,1.7,4.0 and up
Easy Scanner,4.6,Free,10000000,6.34,4.0 and up
Super Recipes,2.6,,100000000,6.82,4.0 and up
Smart Tasks,4.3,,100000000,10.75,5.0 and up
Easy Music,,Free,1200000,18.59,4.0 and up
Daily Tasks,3.0,Paid,50000000,16.18,4.0 and up
Easy Tasks,3.9,,10000,10.68,4.0 and up
My Calendar,4.9,Free,50000,15.72,Varies with device
Easy Fitness,3.1,,10000000,9.68,4.0 and up
Smart Recipes,2.8,Free,50000,14.61,4.0 and up
Daily Fitness,,,10000000,15.54,Varies with device
Daily Notes,1.1,Free,40000,5.14,Varies with device
Go Music,3.7,,10000000,16.66,4.0 and up
Happy Photo,3.5,Paid,800000,11.56,Varies with device
Quick Recipes,,,10000000,9.72,4.0 and up
Happy Recipes,3.0,Paid,40000,7.92,4.0 and up
Pro Notes,1.3,Free,1200000,4.48,5.0 and up
Smart Translate,4.2,,800000,10.03,4.0 and up
Smart Translate,3.2,Paid,800000,2.52,Varies with device
Fast Photo,1.1,Paid,10000000,12.7,5.0 and up
Life Made WI-FI Touchscreen Photo Frame,4.8,Paid,1200000,17.97,4.0 and up
